0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950
0,0,0,0,0,0,0,0,0,0,0,0,0,14,131,388,497,593,551,322
0,0,0,0,0,0,0,0,0,0,0,0,0,15,194,478,835,1012,1015,808
0,0,0,0,0,0,0,0,0,0,0,0,0,18,59,232,313,353,225,117
0,0,0,0,0,0,0,0,0,0,0,0,0,10,55,127,291,381,432,642
0,0,0,0,0,0,0,0,0,0,0,0,0,5,67,366,761,1450,2100,2583
0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,176,477,986,1158,1055
0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,99,321,579,714,626
0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,25,66,38,7,3
0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,109,95,127,98,163
0,0,0,0,0,0,0,0,0,0,0,0,0,3,64,160,275,243,216,135
0,0,0,0,0,0,0,0,0,0,0,0,0,3,94,137,107,110,92,12
0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,17,66,33,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,145,208,283,263,139
0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,410,691,1238,2192,3172
0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,212,733,1317,1926,1782
0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,116,77,29,14,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,244,580,1274,1990,2554
0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,37,5,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,117,170,136,99
0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,76,55,75,46,71
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,57,125,201,199,46
0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,32,78,137,235,254
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,123,385,561,433
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,164,418,705,1063,1229
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,77,207,161,167,194
0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,69,166,256,413,402
0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,49,164,371,624,670
0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,49,333,763,1036,1172
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,76,111,203,104,31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,245,755,1477,1896,2359
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,79,203,497,904,1299
0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,372,1197,2438,3760,4537
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,80,254,544,953,829
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,75,194,362,698,608
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,40,32,13,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,36,26,7,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,42,210,485,930,1278
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,305,1101,2098,3239,4094
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,59,190,310,268,147
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,69,153,429,706,680
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,46,11,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,85,224,339,326,285
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,77,116,217,294
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,52,15,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,25,129,286,399
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110,148,158,154,117
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,318,665,1207,1343
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,29,53,14,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,56,169,240,237
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,91,259,389,446
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,70,287,396,449
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,266,675,1206,1676
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,203,363,419,296
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,123,284,374,493
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,57,32,7,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,160,204,105,35
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,127,501,797,1232
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,62,341,665,1016
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,127,522,1218,2183
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,23,53,61,93
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,133,179,232,196
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,38,63,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,46,48,53,37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,123,263,507,453
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,84,381,801,1405
